key,de,en,fr,it
title,Termin buchen,Book an Appointment,Prendre un Rendez-vous,Prenota un Appuntamento
subtitle,Hier können Sie einfach Ihren Termin vereinbaren.,Easily schedule your appointment here.,Prenez facilement rendez-vous ici.,Prenota il tuo appuntamento in pochi passi.
step1_title,Schritt 1 von 3: E-Mail & Standort,Step 1 of 3: Email & Location,Étape 1 sur 3 : E-mail & Lieu,Passo 1 di 3: Email & Luogo
emailLabel,E-Mail-Adresse *,Email Address *,Adresse e-mail *,Indirizzo e-mail *
locationLabel,Standort *,Location *,Lieu *,Località *
privacyAgreement,Ich stimme der Verarbeitung meiner Daten zu.,I consent to the processing of my data.,J'accepte que mes données soient traitées.,Acconsento al trattamento dei miei dati.
nextButton,Weiter,Next,Suivant,Avanti
prevButton,Zurück,Back,Retour,Indietro
step2_title,Schritt 2 von 3: Persönliche Angaben,Step 2 of 3: Personal Details,Étape 2 sur 3 : Informations Personnelles,Passo 2 di 3: Dati Personali
firstName,Vorname *,First Name *,Prénom *,Nome *
lastName,Nachname *,Last Name *,Nom *,Cognome *
birthYear,Geburtsjahr *,Year of Birth *,Année de naissance *,Anno di Nascita *
birthYearInfo,Bitte geben Sie Ihr Geburtsjahr an.,Please enter your year of birth.,Veuillez indiquer votre année de naissance.,Inserisci il tuo anno di nascita.
street,Straße *,Street *,Rue *,Via *
postalCode,PLZ *,Postal Code *,Code postal *,CAP *
city,Ort *,City *,Ville *,Città *
phone,Telefonnummer *,Phone Number *,Numéro de téléphone *,Numero di telefono *
step3_title,Schritt 3 von 3: Abschluss,Step 3 of 3: Final Step,Étape 3 sur 3 : Finalisation,Passo 3 di 3: Conferma
examination,Untersuchung *,Examination *,Examen *,Esame *
appointmentPreference,Terminwunsch *,Preferred Appointment Time *,Préférence de rendez-vous *,Preferenza per l’appuntamento *
termsAgreement,Ich akzeptiere die <a href='/agb'>AGB</a>.,I accept the <a href='/en/terms'>Terms & Conditions</a>.,J'accepte les <a href='/fr/conditions-generales'>Conditions Générales</a>.,Accetto i <a href='/it/termini-e-condizioni'>Termini e Condizioni</a>.
privacyPolicyAgreement,Ich akzeptiere die <a href='/datenschutzerklaerung'>Datenschutzerklärung</a>.,I accept the <a href='/en/privacy-policy'>Privacy Policy</a>.,J'accepte la <a href='/fr/politique-de-confidentialite'>Politique de Confidentialité</a>.,Accetto l'<a href='/it/informativa-sulla-privacy'>Informativa sulla Privacy</a>.
submitButton,Termin buchen,Confirm Appointment,Confirmer le Rendez-vous,Conferma l'Appuntamento
successMessageTitle,Vielen Dank für Ihre Anmeldung!,Thank you for your registration!,Merci pour votre inscription !,Grazie per la tua iscrizione!
successMessageIntro,Sie haben uns das Folgende mitgeteilt:,You have provided us with the following information:,Vous nous avez fourni les informations suivantes :,Ci hai fornito le seguenti informazioni:
emailConfirmation,Sie erhalten in Kürze eine Bestätigungs-E-Mail an:,You will receive a confirmation email shortly at:,Vous recevrez bientôt un e-mail de confirmation à :,Riceverai a breve un'e-mail di conferma a:
emailGreeting,Guten Tag ${data.vorname} ${data.nachname},Dear ${data.vorname} ${data.nachname},Bonjour ${data.vorname} ${data.nachname},Buongiorno ${data.vorname} ${data.nachname}
emailIntro,Dies ist eine automatische Empfangsbestätigung Ihrer Terminbuchung bei SwisVital in ${data.standort}.,This is an automatic confirmation of your appointment booking at SwisVital in ${data.standort}.,Ceci est une confirmation automatique de votre rendez-vous chez SwisVital à ${data.standort}.,Questa è una conferma automatica della tua prenotazione presso SwisVital a ${data.standort}.
emailSummaryTitle,Wir haben die folgenden Angaben von Ihnen notiert:,We have recorded the following details from you:,Nous avons noté les informations suivantes vous concernant :,Abbiamo registrato i seguenti dettagli:
emailPersonalDataTitle,Persönliche Daten:,Personal Details:,Données personnelles :,Dati personali:
emailAppointmentTitle,Termindetails:,Appointment Details:,Détails du rendez-vous :,Dettagli dell'appuntamento:
emailCorrectionNote,Stimmt das so für Sie? Falls nicht antworten Sie einfach mit Ihrem Korrekturwunsch auf diese Nachricht.,"Does everything look correct? If not, just reply with your corrections.","Tout est correct ? Sinon, répondez simplement avec vos corrections.","Tutto è corretto? In caso contrario, rispondi con le correzioni."
emailCallNotice,"Wir werden Sie aber ohnehin noch anrufen, um Ihren Wunschtermin zu fixieren. Dann bringen wir das rasch in Ordnung.",We will call you anyway to confirm your desired appointment. Then we will quickly sort everything out.,"Nous vous appellerons de toute façon pour fixer votre rendez-vous souhaité. Ensuite, nous mettrons tout rapidement en ordre.",Ti chiameremo comunque per confermare il tuo appuntamento desiderato. Poi sistemeremo tutto rapidamente.
emailClosing,Freundliche Grüsse und bis bald.,Best regards and see you soon.,Cordialement et à bientôt.,Cordiali saluti e a presto.
locationOptionDefault,Bitte wählen,Please select,Veuillez choisir,Si prega di scegliere
location_Zurich,Zürich,Zurich,Zürich,Zurigo
location_Bern,Bern,Bern,Berne,Berna
location_Basel,Basel,Basel,Bâle,Basilea
